filename,width,height,class,xmin,ymin,xmax,ymax
2011_007144_jpg.rf.006a9817b1d56ac154240e874c341087.jpg,500,375,person,244,166,307,358
2011_007144_jpg.rf.006a9817b1d56ac154240e874c341087.jpg,500,375,person,139,175,228,374
2008_005327_jpg.rf.003d2e04960e0ed6393f135fad956ce6.jpg,500,375,horse,0,47,413,374
2012_002662_jpg.rf.0020d3c55a3c52b3947518c836b6f88b.jpg,333,500,person,167,316,281,462
2008_003478_jpg.rf.007f0016e0614d69c93c5ab4579421f0.jpg,500,375,aeroplane,0,45,219,120
2008_003478_jpg.rf.007f0016e0614d69c93c5ab4579421f0.jpg,500,375,person,271,55,303,156
2008_003478_jpg.rf.007f0016e0614d69c93c5ab4579421f0.jpg,500,375,person,302,54,352,174
2011_006676_jpg.rf.005c1c9f12b5206535475695c1dcb769.jpg,500,375,person,214,105,331,298
2008_007446_jpg.rf.007be34efb9e340ff6d5bc9a41559a37.jpg,500,375,tvmonitor,174,90,343,279
2008_007446_jpg.rf.007be34efb9e340ff6d5bc9a41559a37.jpg,500,375,tvmonitor,0,117,186,374
2012_002793_jpg.rf.004d7db024c3dee89af0c219d6ebab77.jpg,312,500,person,107,60,207,415
2011_007070_jpg.rf.001dfc7acdcd65c72eddc0ec70782f0c.jpg,500,375,person,157,0,499,374
2008_008058_jpg.rf.00257327e91864d61464d79c20de67e8.jpg,335,500,motorbike,0,155,318,499
2008_008058_jpg.rf.00257327e91864d61464d79c20de67e8.jpg,335,500,person,93,181,270,493
2010_005138_jpg.rf.0064750aab8071d718a57c2ac93ffdf1.jpg,500,375,dog,284,179,411,317
2010_003114_jpg.rf.000cd90868cd41e5eee0ca96a153f179.jpg,500,375,dog,200,91,392,352
2010_003114_jpg.rf.000cd90868cd41e5eee0ca96a153f179.jpg,500,375,sofa,95,88,499,374
2011_000319_jpg.rf.000ab6ed35e10e7ab487c0fe169a9150.jpg,500,375,bicycle,0,209,16,260
2011_000319_jpg.rf.000ab6ed35e10e7ab487c0fe169a9150.jpg,500,375,bicycle,216,172,303,232
2011_000319_jpg.rf.000ab6ed35e10e7ab487c0fe169a9150.jpg,500,375,person,239,133,291,224
2011_000319_jpg.rf.000ab6ed35e10e7ab487c0fe169a9150.jpg,500,375,person,0,142,18,213
2007_009938_jpg.rf.00346b429c2bfd699a30ea419ad1c2e7.jpg,500,375,motorbike,136,54,319,339
2007_009938_jpg.rf.00346b429c2bfd699a30ea419ad1c2e7.jpg,500,375,car,241,0,324,51
2009_000300_jpg.rf.0026f8dab05f7cdb7a8b7f343594cd58.jpg,500,333,diningtable,0,77,499,332
2009_000300_jpg.rf.0026f8dab05f7cdb7a8b7f343594cd58.jpg,500,333,sofa,93,0,499,208
2009_004390_jpg.rf.006c79578e736764e1a976a5ddc812ce.jpg,500,375,dog,35,86,298,180
2009_004390_jpg.rf.006c79578e736764e1a976a5ddc812ce.jpg,500,375,dog,213,129,463,252
2011_004077_jpg.rf.0076de5f701f1538957ec8c28d0093ee.jpg,500,259,person,217,52,332,258
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,train,0,139,348,313
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,train,0,164,66,207
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,person,309,181,329,225
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,person,327,181,342,227
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,person,335,191,366,265
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,person,457,189,486,273
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,person,409,191,427,242
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,person,13,181,28,217
2011_003260_jpg.rf.00643913ecb7639d0f6dc70445219678.jpg,500,375,person,34,183,46,207
2012_001861_jpg.rf.004edc89b00f03b06bd05f5f16bd2163.jpg,500,333,person,0,9,288,332
2012_002755_jpg.rf.00393c0a6f9ecc2ba88836e4d95d4f17.jpg,500,375,person,106,62,368,374
2009_001044_jpg.rf.0019fb15b8bf2ecaa783c1a27dbe8c79.jpg,500,375,bus,74,106,462,294
2008_001921_jpg.rf.0097edc59dc8dd12c206a9b5e693b20c.jpg,500,375,dog,114,124,362,253
2009_002714_jpg.rf.0080cddf084ff4ce23353bbe378be16b.jpg,500,375,aeroplane,83,145,316,235
2008_005379_jpg.rf.001cfb8814a5c310fe7b82daf9cb6a79.jpg,500,375,person,321,0,499,374
2008_005379_jpg.rf.001cfb8814a5c310fe7b82daf9cb6a79.jpg,500,375,dog,86,34,354,250
2010_003804_jpg.rf.007a38e54c8b00e5046a37bf75637af5.jpg,500,375,sofa,171,212,346,319
2010_003804_jpg.rf.007a38e54c8b00e5046a37bf75637af5.jpg,500,375,person,217,16,280,200
2010_006580_jpg.rf.00b50afb503e243eb66d179aa62c629f.jpg,375,500,person,24,20,330,474
2011_006724_jpg.rf.00cb7e1d4a6c17b6317161092b988f60.jpg,363,500,person,117,124,215,392
2011_006724_jpg.rf.00cb7e1d4a6c17b6317161092b988f60.jpg,363,500,person,8,148,86,367
2010_004210_jpg.rf.009ba4daebe304493642cfd13f388ec9.jpg,500,375,cow,284,30,499,274
2010_004210_jpg.rf.009ba4daebe304493642cfd13f388ec9.jpg,500,375,cow,47,105,342,328
2010_004210_jpg.rf.009ba4daebe304493642cfd13f388ec9.jpg,500,375,cow,0,131,47,170
2010_004210_jpg.rf.009ba4daebe304493642cfd13f388ec9.jpg,500,375,person,244,108,263,135
2010_004210_jpg.rf.009ba4daebe304493642cfd13f388ec9.jpg,500,375,person,271,105,287,134
2011_005473_jpg.rf.00bb593afa1f4f6e779b8a80a4d2d90e.jpg,375,500,person,281,84,328,225
2011_005473_jpg.rf.00bb593afa1f4f6e779b8a80a4d2d90e.jpg,375,500,person,86,115,124,203
2011_005473_jpg.rf.00bb593afa1f4f6e779b8a80a4d2d90e.jpg,375,500,person,116,121,145,203
2012_000574_jpg.rf.00aa46759e21bfadfba60bb33b980729.jpg,500,375,person,330,1,407,218
2011_007204_jpg.rf.00b548210364260453e9558442f2cc84.jpg,375,500,person,7,18,345,499
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,1,181,103,399
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,131,185,210,399
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,319,149,477,399
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,119,186,154,268
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,204,206,240,290
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,273,210,284,265
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,283,213,297,266
2008_002491_jpg.rf.00e38ead0893be6370c35be213e00864.jpg,500,400,person,241,218,262,265
2008_007827_jpg.rf.00d7de99d8e2a1e6f02d252d5b4c6ffd.jpg,450,338,chair,37,133,89,303
2008_007827_jpg.rf.00d7de99d8e2a1e6f02d252d5b4c6ffd.jpg,450,338,chair,371,142,428,194
2008_007827_jpg.rf.00d7de99d8e2a1e6f02d252d5b4c6ffd.jpg,450,338,diningtable,4,187,449,337
